doc_id,argument,start,end
14,you had heads,159,172
14,we have chance,1282,1296
14,we have an opportunity,2390,2412
14,they need action,5093,5109
14,least besieged,5332,5346
14,they block the resolution,5514,5539
14,we get resolution,5689,5706
15,cool headed,290,301
29,who stormed the embassies,525,550
29,who stormed the embassies,3061,3086
29,who issued statement,3384,3404
29,we condemn efforts,3543,3561
29,they knew the difference,5668,5692
33,many including,1519,1533
33,who have experience,2963,2982
33,there are reports,3264,3281
33,that takes power,3769,3785
33,he asked sociologist,4004,4024
47,that took place,719,734
47,it happened intelligence,1355,1379
47,he said the source,2172,2190
47,who had access,2874,2888
47,there is evidence,3214,3231
47,that involves the slaughter,4107,4134
47,they have this narrative,4333,4357
47,they defeated alqaeda,4363,4384
47,we expect candor,5003,5019
47,we expect transparency,5020,5042
47,hes an observer,5667,5682
47,he clinched the nomination,6060,6086
58,that lacks resolve,2339,2357
58,we needed strategy,2571,2589
58,he dismissed israels,3096,3116
58,too long known,3847,3861
58,long known,3851,3861
58,we paid the price,4868,4885
58,we need leaders,5025,5040
61,we have no objection,467,487
61,french doing,491,503
65,that said the commentariat,1340,1366
72,few read,118,126
76,considerable lean,837,854
82,so much know,261,273
82,much know,264,273
86,sid hit,77,84
88,you approve the war,3,22
88,you regarding the department,220,248
98,it went knee,48,60
98,you see that behavior,639,660
121,you have the call,32,49
127,our remaining presence,3065,3087
127,there are marines,3702,3719
127,you make that judgment,5509,5531
127,me point tapper,5547,5562
127,what happened this week,5731,5754
127,there is no excuse,6071,6089
127,he condemns this violence,6615,6640
127,theres no excuse,10022,10038
127,theres no excuse,10171,10187
142,who killed younis,24,41
142,who killed younis,63,80
142,who killed younis,101,118
147,we had no idea,262,276
147,his ringing cell,1060,1076
147,theres sense,1546,1558
147,there is no plan,2014,2030
147,humble retiring,2193,2208
147,that punctures the tncs,5113,5136
147,there is no indication,5626,5648
147,who have no blood,6386,6403
147,good answers,7666,7678
147,us get indias,8776,8789
147,that meets the uaes,9484,9503
147,my traveling companions,9564,9587
148,worth reading,48,61
152,worth read,19,29
152,our embattled diplomats,465,488
153,many mentioned,650,664
158,we arrange shipments,4,24
163,weekly meeting,222,236
170,abz has,401,408
172,there was no demo,92,109
175,who took part,845,858
175,that fought qaddafis,1526,1546
175,many say,1648,1656
175,they carried banners,2558,2578
175,biggest seen,3409,3421
175,many say,3660,3668
175,disastrous said,4670,4685
175,that means the tribe,5200,5220
175,we have no bars,6352,6367
183,there is crane,68,82
183,there is possibility,345,365
186,little come,26,37
205,you get chance,25,39
207,who transformed the militarys,1359,1388
207,it carries risks,5818,5834
215,you treated the video,185,206
215,that share the news,2052,2071
215,he spent every day,3116,3134
215,who joined the department,3335,3360
215,worth striving,5271,5285
215,whom spoke this morning,6942,6965
215,we have work,8771,8783
215,that took place,9047,9062
215,there is no justification,9265,9290
215,who make this country,10563,10584
215,he had the hands,11816,11832
215,he died the way,12374,12389
215,we condemn the attack,12440,12461
215,that took the lives,12462,12481
215,we appreciate the statements,12710,12738
215,we honor the memory,13552,13571
215,our fallen colleagues,13575,13596
215,there is no justification,15203,15228
215,we condemn the violence,15284,15307
215,we found reminder,17841,17858
215,we lost this week,17992,18009
215,dynamic growing,18849,18864
215,all know democracy,19454,19472
215,themselves feel the changes,19505,19532
215,we have lot,24581,24592
215,we condemn the violence,26219,26242
215,same goes,28556,28565
215,we make no differences,29271,29293
215,we launched program,31103,31122
215,they inspire others,31838,31857
215,we have work,32919,32931
215,we bring home,34007,34020
215,our fallen colleagues,34187,34208
215,he had the hands,35073,35089
215,their grieving families,36176,36199
215,he made those peoples,36517,36538
215,that said thugs,37179,37194
215,that took the lives,37655,37674
215,worth striving,41367,41381
215,that threaten people,42997,43017
215,them empowering women,44739,44760
215,we took the opportunity,44796,44819
215,who killed ambassador,46230,46251
215,you leave justice,46404,46421
215,who orchestrated this attack,47029,47057
215,there are extremists,47916,47936
215,we did an evaluation,49992,50012
215,there is risk,50450,50463
215,that sparked these protests,52313,52340
215,there is no justification,52457,52482
215,we signed an agreement,53797,53819
215,this gallows humor,57788,57806
215,theres any basis,60910,60926
215,you see this threat,61728,61747
215,there is no disruption,62968,62990
215,we have lot,65124,65135
215,there is no justification,66154,66179
215,there is provocation,66203,66223
215,we found the video,66303,66321
215,public call,69572,69583
215,our shared security,69890,69909
215,that civilianled government,70619,70646
215,you confront challenges,75103,75126
217,you prefer pat,534,548
240,he launched an investigation,422,450
240,that transfixed the nation,451,477
240,who found rice,1563,1577
240,what troubles some others,1962,1987
240,old restored,2199,2211
240,it lacks theme,3640,3654
240,he sees an administration,4360,4385
244,possibly temporary depending,805,833
244,temporary depending,814,833
244,there is collusion,4921,4939
244,new elected,5037,5048
245,my cracked head,196,211
247,best get,23,31
250,there is report,120,135
250,she has concussion,331,349
250,you think mccain,358,374
250,thats that report,530,547
258,appropriate sent,26,42
260,appropriate sent,281,297
268,which imposes sanctions,632,655
268,she announces the transition,2372,2400
270,fierce fight,787,799
270,western educated,2634,2650
270,who has the authority,5778,5799
273,that said jail,4551,4565
285,we announce tonight,54,73
293,that share the news,91,110
293,he spent every day,1155,1173
293,who joined the department,1368,1393
311,you work derek,6,20
315,you discussed bill,5,23
321,we do tomorrow,4,18
327,you seen the readout,65,85
327,whats the feedback,120,138
349,ill call,0,8
370,there is no sample,32,50
393,thats the key,116,129
400,who lacks discretion,105,125
407,you have ideas,113,127
410,ill keep,97,105
411,they know bill,123,137
426,whats the reason,0,16
432,we set any expectations,9,32
432,anyone background the press,37,64
441,you distribute the materials,14,42
441,you have any questions,224,246
443,sept ask,113,121
453,there is chance,68,83
458,sure see,20,28
468,there is cabinet,24,40
474,you reached mark,5,21
483,there was no mtg,33,49
493,true be,77,84
498,you see the article,4,23
501,who has lots,27,39
510,sure do,3,10
514,then ill keep,60,73
514,ill keep,65,73
522,we talk tonight,8,23
535,there is no way,19,34
535,we split group,90,104
537,dear guess,3,13
541,whats hussein,0,13
548,you talk what time,4,22
552,it goes the trip,312,328
588,we cancelled the management,8,35
593,it bears repeatingyoure,29,52
596,we set time,54,65
621,whats the plan,133,147
630,whats the plan,133,147
632,whats the plan,133,147
642,me tomorrows schedule,68,89
648,we postpone start,6,23
668,sept want,238,247
683,we do conf,23,33
695,whats status,75,87
703,you book the shuttle,58,78
703,whats status,100,112
710,you have numbers,13,29
710,shes the president,38,56
713,this make sense,56,71
716,late sat,468,476
721,you get cell,4,16
728,you get an office,31,48
729,you get an office,68,85
752,there are noises,44,60
766,anything works thanks,341,362
766,that sl greenhard,1063,1080
766,its recognized brand,1174,1194
766,ill give,2041,2049
768,that want derek,19,34
769,me printed copy,9,24
776,that makes sense,0,16
798,you email copy,9,23
800,we have date,3,15
801,you talk release,34,50
809,todd go,107,114
811,we strengthen the aid,323,344
811,whats followup,637,651
811,you working wha,700,715
811,we doing mepi,760,773
824,he write letter,6,21
826,blackstone wanted,101,118
826,that interfere sales,302,322
826,he said the state,323,340
841,us take helicopter,29,47
844,least like,55,65
846,you write part,25,39
847,ill meet,3,11
848,you made progress,5,22
849,we get bill,31,42
851,we want eikenberry,121,139
858,you check eikenberry,19,39
860,you vet this request,33,53
863,who speaks mandarin,76,95
866,he supported the surge,21,43
869,you have suggestions,87,107
872,sure see,11,19
876,someone elses name,62,80
879,we send funeral,5,20
885,you needwant fish,56,73
893,we delivered letter,31,50
894,we need details,0,15
899,you see the photo,4,21
902,we change time,43,57
923,worth exploring,28,43
924,he have an email,5,21
926,all worth inviting,298,316
926,worth inviting,302,316
933,we do the women,6,21
935,you have any details,61,81
935,she mentioned an event,87,109
940,theres memcon,121,134
940,his stated commitment,149,170
959,sure get,97,105
961,it fixed today,155,169
962,me know time,100,112
963,true see,125,133
972,you get correction,182,200
989,me know time,100,112
999,you heard the news,75,93
1011,we draw lines,10,23
1014,you want b6,59,70
1033,us appeals court,569,585
1033,overzealous errorriddled,3314,3338
1033,he investigates questions,3643,3668
1037,us adversaries any decision,732,759
1040,me know the dates,40,57
1040,they know saif,135,149
1061,schedue visit,95,108
1088,you prepare cover,14,31
1091,that make sense,203,218
1092,me mccain graham,21,37
1102,he suggest times,183,199
1113,you want thx,33,45
1126,thrilled wants,4,18
1148,me know what time,146,163
1154,he mentioned cable,19,37
1157,you got some sleep,8,26
1162,happy thanksgiving,385,403
1176,there are no illusions,565,587
1176,you saw this week,734,751
1176,very possible given,3099,3118
1176,possible given,3104,3118
1176,brown drifting,4113,4127
1192,you know what time,118,136
1217,what happened yesterday,48,71
1229,that see potus,87,101
1233,rich scheduled,95,109
1236,we schedule call,39,55
1237,we schedule call,33,49
1244,which stresses goodwins,392,415
1244,which stresses goodwins,531,554
1248,she told department,3376,3395
1248,social networking,3934,3951
1248,social networking,5705,5722
1300,we check mario,60,74
1305,worth considering,12,29
1316,someone call payne,28,46
1330,you get any feedback,4,24
1332,we talk tonight,27,42
1337,there was an event,8,26
1357,you revised summit,100,118
1359,which inspired slaves,1336,1357
1359,we have the chance,1957,1975
1359,which have role,7558,7573
1359,we extended this trade,8885,8907
1359,which prevents people,9382,9403
1359,that need supportfrom,11471,11492
1359,they created this organization,13000,13030
1359,we leave millions,13482,13499
1360,im professor,1004,1016
1360,he scans the room,1606,1623
1360,they know things,2438,2454
1360,he says carleto,2837,2852
1360,he says carleto,4457,4472
1360,that landed carleto,4824,4843
1360,you seduced these kids,5683,5705
1360,they had lots,5768,5781
1360,that drove domenici,6185,6204
1360,forman submitted,8147,8163
1360,he joined forces,8895,8911
1360,it became part,9026,9040
1360,he attacks hurdles,9550,9568
1360,she rode the bus,10182,10198
1360,you have choice,10428,10443
1360,which becomes way,12151,12168
1360,you teach teens,13042,13057
1360,you teach empowerment,13142,13163
1360,gray corduroy,14302,14315
1360,he ignores student,14742,14760
1360,she snatches the hat,15046,15066
1360,whats the difference,15291,15311
1360,he wants the students,15737,15758
1360,he asks the students,15868,15888
1360,he tells the students,15983,16004
1360,there are couple,18763,18779
1360,what done carleto,19128,19145
1360,whats that program,19642,19660
1360,who has rap,20225,20236
1360,they refer the teens,21358,21378
1360,they want the students,22936,22958
1360,she taps the paper,24317,24335
1360,he writes the majority,24687,24709
1360,you fix that fee,24798,24814
1360,thats the reason,25015,25031
1360,we have some complaints,25426,25449
1360,he begins the list,25595,25613
1360,there is situation,25742,25760
1360,ashawntea look,26829,26843
1365,you have any questions,88,110
1376,he indicated lula,231,248
1381,participant lists,173,190
1383,anything regarding somalia,533,559
1383,they see any form,873,890
1383,they have the resources,1350,1373
1388,which covers lot,327,343
1407,them stop drug,239,253
1413,he told news,540,552
1422,this says guines,0,16
1429,you revised schedule,47,67
1431,who expressed concern,441,462
1433,you revised line,104,120
1435,you had no press,22,38
1451,you had views,264,277
1459,we have donuts,4,18
1470,we schedule call,35,51
1479,theres lot,0,10
1494,we recd memo,403,415
1515,adb reps,388,396
1522,you work derek,102,116
1526,there was interagency,114,135
1533,it gives background,58,77
1536,it gives background,42,61
1542,least canonized,283,298
1552,what connects bho,211,228
1555,there are troops,30,46
1566,she said the pair,1056,1073
1566,which marks the border,1486,1508
1566,she said the pair,2576,2593
1566,which marks the border,3008,3030
1580,who argued that mandate,854,877
1580,who gets credit,1273,1288
1624,you frame the world,189,208
1624,our shared security,357,376
1624,our shared security,428,447
1624,our shared prosperity,556,577
1624,that promote respect,992,1012
1624,we achieve these goals,1161,1183
1624,similarly accountable focusing,1980,2010
1624,accountable focusing,1990,2010
1624,sustainable eliminating,2179,2202
1624,our shared agenda,2454,2471
1629,theres phone,256,268
1648,we have no interest,659,678
1650,we unveil food,8,22
1661,he supported gordons,749,769
1663,you call readout,179,195
1670,todd see,49,57
1677,theres no honduras,196,214
1677,that passes reinforces,1113,1135
1677,that point the time,1136,1155
1677,we started the week,1261,1280
1678,thats the plan,4,18
1688,he outlined the parameters,2797,2823
1688,this strengthens the hand,3286,3311
1688,which says governmentrun,4068,4092
1688,top read,4181,4189
1692,many including,297,311
1698,that denied samesex,309,328
1700,both correct the voice,76,98
1701,you suggest day,75,90
1702,we have no confirmation,45,68
1726,many said,707,716
1726,there are people,960,976
1726,high ranking,2400,2412
1726,near finalized,3000,3014
1731,thats problem,59,72
1736,1029mo fixed,46,58
1740,we have couple,18,32
1741,we did musa,49,60
1742,1029mo fixed,511,523
1743,1029mo fixed,447,459
1745,too much going,261,275
1745,much going,265,275
1745,worth noting,329,341
1745,fair conducted,467,481
1745,more seems,1175,1185
1754,he resigned mandelson,294,315
1755,busy gearing,300,312
1755,best wishes,430,441
1756,all good has,54,66
1756,good has,58,66
1759,he has the option,68,85
1759,we do this year,89,104
1763,you have chance,103,118
1768,which devastates crops,1090,1112
1768,that connects the labs,1591,1613
1768,we need longterm,2344,2360
1768,that offer credit,4089,4106
1768,he represents the need,5104,5126
1768,which devastates crops,6352,6374
1768,that connects the labs,6853,6875
1768,we need longterm,7603,7619
1768,that offer credit,9348,9365
1768,he represents the need,10362,10384
1768,which devastates crops,11608,11630
1768,that connects the labs,12110,12132
1768,we need longterm,12860,12876
1768,that offer credit,14605,14622
1768,he represents the need,15619,15641
1772,that savages exclusion,108,130
1772,slightly hypocritical given,346,373
1772,hypocritical given,355,373
1793,daily briefing,98,112
1805,they get fobs,214,227
1805,they leave the building,397,420
1818,that received recovery,61,83
1822,you requested the ones,40,62
1827,you have the bios,35,52
1843,who created this position,682,707
1853,first stop,18,28
1866,that established the momentum,538,567
1866,warmest regards,857,872
1870,he sees biden,319,332
1877,you saw the kurtzer,23,42
1877,that included the notion,1321,1345
1877,it means no increase,3814,3834
1877,which means no babies,3849,3870
1891,theres note,77,88
1898,you have any questions,160,182
1902,sick has,64,72
1902,that filled the streets,341,364
1902,you have description,700,720
1902,he ordered an investigation,2736,2763
1902,there is another lesson,5490,5513
1903,imam husayn,609,620
1903,pious fallen,1846,1858
1913,engaged get,479,490
1920,he dispatched number,1141,1161
1920,his fallen comrades,3822,3841
1921,sick says,994,1003
1921,sick says,1589,1598
1921,he denounces the lies,2655,2676
1921,he describes revolution,2827,2850
1921,he defines the movement,3163,3186
1921,he accepts the burden,3521,3542
1921,he denounces both extremes,3611,3637
1921,who consider religion,3780,3801
1921,he accepts the principles,4254,4279
1921,he demands reform,4413,4430
1921,sick served,5572,5583
1923,there is no correlation,1648,1671
1923,this challenges the notion,1731,1757
1923,there is no correlation,2680,2703
1923,that saw an increase,3473,3493
1923,that saw swing,3515,3529
1923,there are concerns,3885,3903
1923,there were citizens,4610,4629
1923,own make,4911,4919
1923,reformist according,5908,5927
1923,they allege fraud,8327,8344
1956,theres secpres,20,34
1978,this shows confidence,247,268
1979,he thought the weight,176,197
1988,it comes jake,33,46
1989,there is an info,172,188
1994,we get word,11,22
2009,torn see,14,22
2009,second torn,148,159
2014,you announce the effort,198,221
2014,we get the coverage,292,311
2014,this makes sense,323,339
2034,him asking what time,19,39
2035,brown added,2100,2111
2035,registered reps,3764,3779
2035,you vote wtbrnagn,5528,5545
2035,you vote wtbrnagn,6352,6369
2035,you vote wtbrnagn,6863,6880
2039,we lift the hold,66,82
2044,we lift the hold,66,82
2044,him confirmed tonight,116,137
2049,he spoke the charge,56,75
2049,there was procedure,114,133
2049,ustr contact,369,381
