doc_id,entity,type,score
2,q,I-PER,0.6582859
2,##ad,I-PER,0.66731936
2,##da,I-MISC,0.30617914
5,q,I-PER,0.66679716
5,##ad,I-PER,0.6999185
5,##da,I-MISC,0.30463767
6,ben,I-LOC,0.5892271
6,##gh,I-LOC,0.9665935
6,##azi,I-LOC,0.98632425
8,q,I-PER,0.66679716
8,##ad,I-PER,0.6999185
8,##da,I-MISC,0.30463767
14,al,I-PER,0.88771766
14,##qa,I-PER,0.6863552
14,##dd,I-PER,0.46960613
14,q,I-PER,0.9387399
14,##ad,I-PER,0.9396725
14,##da,I-PER,0.5448948
26,##nt,I-ORG,0.73352736
29,am,I-MISC,0.90710884
29,##eric,I-MISC,0.99133426
29,##an,I-MISC,0.9948789
29,##eric,I-MISC,0.9224787
37,##f,I-MISC,0.47832584
37,##rica,I-LOC,0.8584972
37,##rench,I-MISC,0.99840885
37,##ues,I-MISC,0.74194044
37,##e,I-MISC,0.9865117
40,ben,I-LOC,0.7591774
40,##gh,I-LOC,0.89685386
40,##azi,I-LOC,0.95904845
52,##gh,I-LOC,0.9333669
52,##azi,I-LOC,0.9859262
55,##jord,I-LOC,0.9765146
55,##an,I-LOC,0.8825866
55,i,I-LOC,0.8974022
55,##ra,I-LOC,0.7172601
55,##q,I-LOC,0.8713996
55,ben,I-LOC,0.7210871
55,##gh,I-LOC,0.95118856
55,##azi,I-LOC,0.99323165
56,##nt,I-ORG,0.5320009
58,east,I-LOC,0.986555
58,am,I-MISC,0.9143686
58,##eric,I-MISC,0.9377305
58,##an,I-MISC,0.97709346
58,east,I-LOC,0.9666264
58,##yr,I-LOC,0.9921819
58,##pt,I-LOC,0.9718402
58,##rae,I-ORG,0.343968
59,re,I-ORG,0.87682074
59,##ines,I-ORG,0.5433758
59,p,I-ORG,0.54360497
61,ben,I-LOC,0.8474088
61,##gh,I-LOC,0.961116
61,##azi,I-LOC,0.9831449
61,##rench,I-MISC,0.9984242
62,##gh,I-LOC,0.94391173
62,##azi,I-LOC,0.9861888
66,ch,I-ORG,0.5984561
66,##ris,I-ORG,0.7127422
66,s,I-ORG,0.78968894
66,##te,I-ORG,0.7236032
66,##ven,I-ORG,0.6870475
72,##rench,I-MISC,0.95793915
82,##gh,I-LOC,0.98171884
82,##azi,I-LOC,0.99533784
87,##gh,I-LOC,0.56376433
87,##azi,I-LOC,0.95607436
87,##azi,I-LOC,0.8607719
88,##gh,I-LOC,0.5959832
88,##azi,I-LOC,0.7014449
101,##gh,I-LOC,0.8758801
101,##azi,I-LOC,0.9670347
108,ben,I-LOC,0.73704326
108,##gh,I-LOC,0.98595506
108,##azi,I-LOC,0.99784684
108,ben,I-LOC,0.90690416
108,##gh,I-LOC,0.98766994
108,##azi,I-LOC,0.99884677
123,##gh,I-LOC,0.923031
123,##azi,I-LOC,0.9765756
127,ben,I-LOC,0.9193534
127,##gh,I-LOC,0.99672794
127,##azi,I-LOC,0.9988123
131,##gh,I-LOC,0.75305575
131,##azi,I-LOC,0.97933584
131,##gh,I-LOC,0.518985
131,##azi,I-LOC,0.9450516
141,##gh,I-LOC,0.9305668
141,##azi,I-LOC,0.98556584
147,##gh,I-LOC,0.9706698
147,##azi,I-LOC,0.9978961
147,##gh,I-LOC,0.98994386
147,##azi,I-LOC,0.99878675
153,##as,I-PER,0.7461632
153,##mus,I-PER,0.9414918
153,##f,I-LOC,0.9091906
153,##ghan,I-LOC,0.99433315
153,##istan,I-LOC,0.99878377
163,##ones,I-MISC,0.7558299
163,##ian,I-MISC,0.83509994
169,ben,I-LOC,0.82151234
169,##gh,I-LOC,0.94453704
169,##azi,I-LOC,0.9796038
172,trip,I-LOC,0.5480803
172,ben,I-LOC,0.573236
172,##gh,I-LOC,0.94056505
172,##azi,I-LOC,0.99178
175,##gh,I-LOC,0.9320152
175,##azi,I-LOC,0.9951964
175,##lam,I-MISC,0.98119825
175,an,I-ORG,0.83784455
175,##sar,I-ORG,0.9676485
175,al,I-ORG,0.9874072
175,##sha,I-ORG,0.86978376
175,##rl,I-ORG,0.88468647
175,##ah,I-ORG,0.960397
175,ben,I-LOC,0.7227387
175,##gh,I-LOC,0.91756696
175,##azi,I-LOC,0.9953243
175,an,I-ORG,0.7222113
175,##sar,I-ORG,0.9507649
